FID,Shape,WellID,type,Latitude,Longitude,NewID,OldID,LULC,Drainage density,Geomorphology,Soil,Slope,Rain,Lineament density,Lithology,validation point categorical data,Net Groundwater Recharge
45,Point,GT2721010,nvblwSL,25.73,88.46,DIN010,DI053,12,0.182854,40,3,0.963641,1934.99,0.209679,19,4,285.506
47,Point,GT2721503,nvblwSL,25.86,88.48,DIN503,DIS07,14,0,46,3,0.340727,1948.92,0.065882,19,4,266.574
50,Point,GT2730015,nvblwSL,25.76,88.85,DIN015,DI044,14,0.097661,40,3,1.83426,1853.3,0.038259,21,2,86.8478
51,Point,GT2756023,nvblwSL,25.77,88.64,DIN023,DI036,14,0.199835,40,3,1.02208,1717.26,0.074509,19,3,173.837
52,Point,GT2760029,nvblwSL,25.9,88.78,DIN029,DI088,14,0.092957,49,3,0.681429,2061.65,0.053657,21,4,242.703
54,Point,GT3224001,nvblwSL,25.41,89.57,GAI001,RA-39,14,0.115097,21,3,1.40459,1764.89,0.004117,21,4,251.702
55,Point,GT3224003,nvblwSL,25.32,89.48,GAI003,RA-72,14,0.116862,24,3,3.13824,1715.05,0,9,4,229.968
56,Point,GT3230005,nvblwSL,25.21,89.38,GAI005,RA-73,14,0.15478,26,3,4.26147,1539.13,0.063242,21,4,232.302
57,Point,GT3230006,nvblwSL,25.12,89.37,GAI006,RA-74,14,0.126481,24,3,1.52343,1560.98,0.018291,9,4,238.247
58,Point,GT3267008,nvblwSL,25.27,89.35,GAI008,RA-53,14,0.110347,28,3,1.92674,1485.95,0.017182,21,5,316.178
59,Point,GT3267009,nvblwSL,25.3,89.41,GAI009,RA-56,14,0.132872,20,3,0.963641,1671.28,0,21,4,260.218
63,Point,GT3291018,nvblwSL,25.59,89.51,GAI018,RA-84,14,0.15255,25,3,1.07736,1890.34,0.045783,21,3,148.2
64,Point,GT3230004,nvblwSL,25.13,89.39,GAI004,RA-42,14,0.113678,24,3,0.340727,1565.24,0.026974,9,4,235.937
66,Point,GT4961007,nvblwSL,25.91,89.71,KUR007,RA-62,14,0.159464,29,3,1.98599,2014.14,0.194579,21,4,239.802
67,Point,GT4994008,nvblwSL,25.66,89.63,KUR008,RA-38,14,0,25,3,1.36267,1817.82,0.008156,21,4,249.124
68,Point,GT5233001,nvblwSL,26.19,89.12,LAL001,RA-07,14,0.010814,53,3,1.22833,2030.68,0.112611,21,3,188.958
70,Point,GT5233004,nvblwSL,26.1,89.22,LAL004,RA-18,14,0.042555,45,3,2.18069,1764.26,0.028917,21,4,250.696
71,Point,GT5239005,nvblwSL,26.03,89.18,LAL005,RA-26,14,0.07284,45,3,1.36267,1885.29,0.244635,21,4,262.453
72,Point,GT5239006,nvblwSL,25.95,89.26,LAL006,RA-49,14,0.060975,37,3,1.40459,2023.65,0.067831,21,4,244.524
73,Point,GT5239007,nvblwSL,25.95,89.2,LAL007,RA-67,14,0.072379,39,3,0.340727,1993.03,0.280654,21,5,411.128
76,Point,GT5255010,nvblwSL,25.8,89.44,LAL010,RA-33,14,0.107587,32,3,0.481854,1979.57,0.218175,21,4,299.583
78,Point,GT5255012,nvblwSL,25.91,89.45,LAL012,RA-75,14,0.102866,36,3,0.340727,2185.37,0.104735,21,4,254.026
79,Point,GT5270015,nvblwSL,26.39,89.06,LAL015,RA-25,14,0.181998,62,3,2.07168,1443.09,0.001073,21,4,219.83
81,Point,GT7312001,nvblwSL,26.06,88.82,NIL001,RA-03,14,0.045424,53,3,0.761852,2080.5,0.016201,21,4,210.557
82,Point,GT7312002,nvblwSL,26.23,88.95,NIL002,RA-06,14,0.119304,60,3,1.22833,2051.28,0.381473,15,5,310.247
83,Point,GT7312003,nvblwSL,26.13,88.91,NIL003,RA-09,12,0.157987,55,3,2.9087,2109.37,0.047648,21,4,218.861
84,Point,GT7312004,nvblwSL,26.13,89.03,NIL004,RA-10,14,0.154106,50,3,1.98599,2188.89,0.210992,21,3,128.831
88,Point,GT7315009,nvblwSL,26.22,88.84,NIL009,RA-08,14,0.034612,68,3,2.07168,2089.34,0.053412,21,4,234.67
93,Point,GT7336016,nvblwSL,26,89.06,NIL016,RA-16,14,0.134995,47,3,1.70315,2030.2,0.221727,21,3,184.276
94,Point,GT7336017,nvblwSL,26.1,88.92,NIL017,RA-19,14,0.197615,53,3,0.681429,2127.52,0.077673,21,4,234.767
96,Point,GT7336019,nvblwSL,26.08,88.99,NIL019,RA-23,14,0.188601,47,3,1.40459,2222.64,0.188872,21,4,206.785
97,Point,GT7336020,nvblwSL,26,89.01,NIL020,RA-60,14,0.046966,48,3,1.07736,2043.86,0.08406,21,3,199.745
100,Point,GT7364025,nvblwSL,25.97,88.85,NIL025,RA-44,14,0.057534,49,3,1.36267,2017.49,0.009762,21,4,218.065
101,Point,GT7385026,nvblwSL,25.8,88.95,NIL026,RA-68,14,0.009923,40,3,4.09595,1837.6,0.062525,21,2,86.8684
103,Point,GT7704003,nvblwSL,26.25,88.42,PAN003,DI009,14,0.024737,71,3,2.28448,2700.45,0.010762,19,5,364.353
110,Point,GT7734011,nvblwSL,26.06,88.69,PAN011,DI031,14,0.239666,56,3,1.44529,2189.48,0.09113,19,4,285.004
111,Point,GT7734012,nvblwSL,26.1,88.73,PAN012,DI032,12,0.139113,53,3,1.92674,2157.72,0.160932,19,3,171.781
118,Point,GT8549005,nvblwSL,25.79,89.28,RAN005,RA-27,14,0,39,3,0.963641,2059.68,0.073849,21,5,313.759
119,Point,GT8549006,nvblwSL,25.79,89.23,RAN006,RA-28,14,0.077156,34,3,1.70315,2014.18,0.064433,21,5,331.683
124,Point,GT9408003,nvblwSL,26.07,88.27,THA003,DI081,12,0.078459,57,3,4.43371,1658.74,0.086972,19,4,289.678
125,Point,GT9408501,nvblwSL,26.15,88.32,THA501,DIS02,12,0.061932,64,3,1.73686,2170.77,0.041007,19,4,257.406
126,Point,GT9482006,nvblwSL,25.92,88.46,THA006,DI048,14,0.102091,49,3,2.07168,2011.08,0.076008,19,4,258.696
127,Point,GT9482503,nvblwSL,25.79,88.32,THA503,DIS04,14,0.087808,41,3,0.761852,1984.43,0.225814,19,4,201.046
128,Point,GT9486011,nvblwSL,25.97,88.31,THA011,DI016,12,0.068301,50,3,3.75809,1886.75,0.046169,19,4,236.81
129,Point,GT9486012,nvblwSL,25.95,88.25,THA012,DI062,14,0.102024,49,3,1.40459,1869.92,0.1895,19,3,199.918
132,Point,GT9494021,nvblwSL,26.17,88.41,THA021,DI022,12,0.065769,68,3,3.80388,2368.24,0.079464,19,4,289.094
133,Point,GT9494023,nvblwSL,26.19,88.48,THA023,DI024,14,0.053334,66,3,3.66477,2367.86,0.070608,19,4,278.367
134,Point,GT9494028,nvblwSL,26.06,88.52,THA028,DI078,12,0.062031,58,3,0.681429,2211.49,0.03912,19,4,252.06
136,Point,GT8112001,smtmblwSL,24.52,88.85,RAJ001,RJ029,14,0.134904,18,3,2.07168,1372.9,0.168576,9,2,65.0491
137,Point,GT8112002,smtmblwSL,24.63,88.76,RAJ002,RJ088,19,0.107533,15,3,2.88874,1384.78,0.577064,3,2,58.209
139,Point,GT8125006,smtmblwSL,24.34,88.77,RAJ006,RJ034,14,0,18,3,1.22833,1370.38,0.007798,9,3,102.522
140,Point,GT8125009,smtmblwSL,24.33,88.78,RAJ009,RJ098,14,0,17,3,4.4725,1371.63,0.007798,9,3,100.698
142,Point,GT8125012,smtmblwSL,24.28,88.8,RAJ012,RJ116,14,0.006769,20,3,4.53641,1370.52,0.083648,9,2,82.8006
143,Point,GT8131015,smtmblwSL,24.49,88.71,RAJ015,RJ068,14,0.038702,15,3,0.963641,1369,0.10621,9,2,52.4068
146,Point,GT8134022,smtmblwSL,24.43,88.46,RAJ022,RJ104,12,0.083018,22,3,1.07736,1260.54,0.084696,2,1,30.6815
147,Point,GT8134027,smtmblwSL,24.54,88.46,RAJ027,RJ123,12,0.037378,36,3,2.18069,1351.64,0.010289,2,1,21.695
149,Point,GT8172035,smtmblwSL,24.43,88.7,RAJ035,RJ067,14,0.077519,23,3,2.15395,1362.54,0.050549,6,2,56.7548
150,Point,GT8172036,smtmblwSL,24.42,88.61,RAJ036,RJ085,14,0,20,3,0.963641,1331.19,0.073165,9,2,53.3305
151,Point,GT8172037,smtmblwSL,24.38,88.68,RAJ037,RJ094,14,0.083842,19,3,1.73686,1361.87,0.142569,9,2,57.2445
156,Point,GT1006002,smtmblwSL,24.81,89,BOG002,BO016,14,0.143209,16,3,1.02208,1411.75,0.18345,2,3,118.087
158,Point,GT7605002,smtmblwSL,24.11,89.33,PAB002,PA018,14,0.169961,15,3,1.70315,1396.38,0.035947,9,2,58.8138
161,Point,GT7616007,smtmblwSL,23.87,89.64,PAB007,PA040,14,0.207536,17,3,2.15395,1289.54,0.430741,15,3,129.174
163,Point,GT7639017,smtmblwSL,24.14,89.09,PAB017,PA007,14,0,16,3,1.22833,1365.78,0.079528,9,2,57.9036
165,Point,GT7639019,smtmblwSL,24.12,89.04,PAB019,PA031,14,0.089001,17,3,0.761852,1375.82,0.284627,15,2,54.6443
166,Point,GT7639020,smtmblwSL,24.03,89.07,PAB020,PA032,14,0.189241,15,3,1.36267,1382.77,0.28797,15,2,59.9596
168,Point,GT7655025,smtmblwSL,23.98,89.39,PAB025,PA034,14,0.064492,12,3,1.40459,1324.39,0.12348,9,2,81.2561
169,Point,GT7655026,smtmblwSL,24.01,89.29,PAB026,PA042,14,0,13,3,1.22833,1303.16,0.081996,9,1,41.9791
179,Point,GT7790022,smtmblwSL,26.54,88.39,PAN022,DI071,14,0.133586,94,3,0.481854,3074.09,0.205112,19,5,335.306
180,Point,GT7790023,smtmblwSL,26.47,88.5,PAN023,DI083,12,0.219782,90,3,0.681429,2492.53,0.125779,19,4,250.377
181,Point,GT8503001,smtmblwSL,25.68,89.07,RAN001,RA-31,14,0.224059,36,3,2.28448,1751.07,0.01939,21,4,205.361
182,Point,GT8558010,smtmblwSL,25.56,89.33,RAN010,RA-61,14,0.092493,29,3,2.28448,1696.69,0.052315,21,4,264.077
183,Point,GT8576012,smtmblwSL,25.45,89.35,RAN012,RA-52,14,0.051415,27,3,1.44529,1806.71,0.087614,21,4,255.225
185,Point,GT8592014,smtmblwSL,25.75,89.02,RAN014,RA-45,14,0.198033,36,3,1.36267,1824.3,0.008214,21,4,223.787
186,Point,GT8844005,smtmblwSL,24.39,89.66,SIR005,PA014,14,0.063422,15,3,1.07736,1507.67,0.046435,9,3,120.328
187,Point,GT8861009,smtmblwSL,24.52,89.54,SIR009,PA016,14,0.110244,15,3,2.07168,1370.87,0,9,3,130.08
188,Point,GT8861010,smtmblwSL,24.47,89.5,SIR010,PA045,14,0.10436,12,3,1.70315,1331.54,0,9,3,112.469
191,Point,GT8867013,smtmblwSL,24.14,89.67,SIR013,PA022,14,3.8e-05,16,3,3.04472,1236.81,0.289499,9,3,121.478
192,Point,GT8878015,smtmblwSL,24.58,89.66,SIR015,PA027,14,0.134981,16,3,1.52343,1416.47,0.440992,9,3,154.216
193,Point,GT8878016,smtmblwSL,24.49,89.66,SIR016,PA046,14,0.040273,15,3,0,1382.5,0.116549,9,3,148.863
194,Point,GT8878018,smtmblwSL,24.53,89.68,SIR018,PA056,14,0.134308,25,3,2.9087,1414.73,0.446064,9,3,120.437
195,Point,GT9486014,smtmblwSL,25.88,88.24,THA014,DI089,14,0.115485,48,3,0.340727,1982.68,0.160401,19,4,254.082
197,Point,GT9494019,smtmblwSL,26.1,88.54,THA019,DI019,12,0.021149,64,3,1.83426,2236.34,0.081204,19,4,281.387
198,Point,GT9494020,smtmblwSL,26.08,88.37,THA020,DI021,12,0.004215,61,3,2.28448,2179.06,0.055951,19,4,293.496
199,Point,GT9494022,smtmblwSL,26.15,88.47,THA022,DI023,14,0.088773,66,3,1.83426,2322.14,0.056213,19,5,316.093
201,Point,GT9494027,smtmblwSL,26.01,88.5,THA027,DI074,12,0.125237,58,3,1.22833,2164.86,0.05175,19,4,255.203
203,Point,GT8889022,smtmblwSL,24.51,89.38,SIR022,PA026,14,0,15,3,4.57432,1224.3,0,2,2,70.4241
207,Point,GT8894026,smtmblwSL,24.34,89.59,SIR026,PA024,14,0.092798,16,3,0.963641,1331.31,0.09113,9,3,123.839
208,Point,GT8894027,smtmblwSL,24.37,89.53,SIR027,PA025,14,0.09369,14,3,1.98599,1319.08,0.181026,9,3,112.398
211,Point,GT9451005,smtmblwSL,25.93,88.17,THA005,DI092,14,0.060033,45,3,1.44529,1959.45,0.308405,19,5,314.26
212,Point,GT9451502,smtmblwSL,25.88,88.14,THA502,DIS03,14,0.116245,44,3,2.74496,2019.23,0.391048,19,5,300.242
213,Point,GT9482008,smtmblwSL,25.84,88.33,THA008,DI050,12,0.070057,42,3,2.59315,1982,0.200025,19,4,274.377
217,Point,GT4952003,smtmblwSL,25.8,89.7,KUR003,RA-37,14,0.19704,25,3,1.44529,1936.83,0.5028,21,5,383.743
218,Point,GT4952005,smtmblwSL,25.85,89.68,KUR005,RA-71,14,0.10052,32,3,2.07168,1998.08,0.362587,21,4,224.419
223,Point,GT6406004,smtmblwSL,25.02,88.95,NAO004,RJ015,14,0.094581,21,3,1.92674,1433.09,0.035945,9,2,51.0512
225,Point,GT6406006,smtmblwSL,24.97,88.97,NAO006,RJ140,14,0.019205,21,3,2.07168,1421.54,0.106377,9,2,51.1831
226,Point,GT6428008,smtmblwSL,25.14,88.92,NAO008,RJ003,14,0.155697,22,3,2.92852,1462.78,0.030272,9,2,60.7542
228,Point,GT6450016,smtmblwSL,24.9,88.73,NAO016,RJ056,14,0.031615,20,3,1.98599,1412.5,0.032591,9,2,72.8068
229,Point,GT6450019,smtmblwSL,24.85,88.75,NAO019,RJ138,14,0.028911,17,3,0.481854,1428.64,0.048773,2,2,82.7796
231,Point,GT6460026,smtmblwSL,24.9,88.9,NAO026,RJ061,14,0.123774,20,3,1.22833,1299.61,0.103151,2,2,84.1913
232,Point,GT6460027,smtmblwSL,24.84,88.9,NAO027,RJ062,14,0.212109,15,3,1.44529,1347.64,0.076829,3,2,85.3741
241,Point,GT6944006,smtmblwSL,24.17,88.96,NAT006,RJ035,12,0.139018,13,3,3.98173,1359.5,0.323404,15,2,60.1933
242,Point,GT6944007,smtmblwSL,24.25,88.99,NAT007,RJ101,14,0.108481,15,3,1.22833,1410.21,0,9,2,63.7949
244,Point,GT6944010,smtmblwSL,24.21,89,NAT010,RJ132,14,0.114489,20,3,1.70315,1399.62,0.032133,9,2,60.8443
249,Point,GT6991016,smtmblwSL,24.53,89.2,NAT016,RJ139,14,0.182281,17,3,3.96721,1449.55,0.079281,6,2,60.1864
251,Point,GT7037004,smtmblwSL,24.85,88.27,NAW004,RJ075,12,0.259708,28,3,1.70315,1325.56,0.32616,9,1,31.5397
252,Point,GT7056010,smtmblwSL,24.73,88.3,NAW010,RJ073,12,0.207307,20,3,1.36267,1353.26,0.158552,3,1,20.789
254,Point,GT7066014,smtmblwSL,24.56,88.16,NAW014,RJ077,12,0.125702,15,3,3.87899,1312.84,0.530702,15,1,26.3961
255,Point,GT7066015,smtmblwSL,24.49,88.23,NAW015,RJ100,14,0.09715,25,3,1.70315,1296.76,0.353691,15,1,25.8835
256,Point,GT7066016,smtmblwSL,24.59,88.27,NAW016,RJ109,12,0.265617,26,3,1.40459,1301.3,0.465678,9,1,24.0618
257,Point,GT7066018,smtmblwSL,24.51,88.27,NAW018,RJ120,14,0.181973,23,3,1.36267,1292.12,0.417371,15,1,25.5143
258,Point,GT7088020,smtmblwSL,24.84,88.19,NAW020,RJ076,14,0.101257,25,3,0.761852,1327.72,0.24946,9,1,29.8323
260,Point,GT7088022,smtmblwSL,24.64,88.18,NAW022,RJ079,14,0.099787,30,3,2.40791,1319.29,0.341481,9,1,27.3448
261,Point,GT7088023,smtmblwSL,24.61,88.13,NAW023,RJ106,12,0.098061,20,3,2.18069,1319.99,0.723474,15,1,27.5292
263,Point,GT7088025,smtmblwSL,24.76,88.22,NAW025,RJ108,12,0.160427,24,3,1.70315,1332.9,0.074608,9,1,36.1565
264,Point,GT7088029,smtmblwSL,24.76,88.12,NAW029,RJ135,14,0.133982,22,3,4.43371,1329.58,0.160261,9,1,28.9217
265,Point,GT7315012,smtmblwSL,26.14,88.87,NIL012,RA-24,14,0.191748,55,3,1.70315,2099.24,0.01598,21,4,238.72
266,Point,GT7385027,smtmblwSL,25.78,88.91,NIL027,RA-29,12,0.099089,43,3,1.83426,1828.39,0.062658,21,1,45.2145
271,Point,GT1027008,smtmblwSL,24.74,89.58,BOG008,BO002,14,0.136464,13,3,2.74496,1538.48,0.1339,9,3,142.255
274,Point,GT1040012,smtmblwSL,24.87,89.45,BOG012,BO033,14,0.113572,23,3,1.40459,1550.04,0.047974,6,3,190.464
276,Point,GT1081019,smtmblwSL,24.94,89.57,BOG019,BO026,19,0.23201,14,3,0,1522.4,0.417657,9,4,286.126
282,Point,GT2710001,smtmblwSL,25.4,88.93,DIN020,DI058,14,0.062446,27,3,1.70315,1502.01,0,9,3,112.631
283,Point,GT2712002,smtmblwSL,26.04,88.65,DIN002,DI020,12,0.205806,53,3,2.65928,2184.66,0.062593,19,4,271.646
284,Point,GT2712003,smtmblwSL,25.95,88.67,DIN003,DI037,14,0.124362,51,3,1.70315,2334.46,0.097568,19,4,226.635
285,Point,GT2712004,smtmblwSL,26.01,88.62,DIN004,DI038,14,0.08349,58,3,2.28448,2180.19,0.048821,19,5,306.939
286,Point,GT2717008,smtmblwSL,25.65,88.56,DIN008,DI025,14,0.106724,35,3,1.36267,1931.33,0.047027,2,3,179.35
287,Point,GT2717009,smtmblwSL,25.7,88.52,DIN009,DI061,14,0.084448,37,3,4.80734,1931.1,0.138179,19,5,309.197
289,Point,GT2721502,smtmblwSL,25.79,88.5,DIN502,DIS06,14,0.051187,42,3,2.15395,1934.81,0.024699,19,4,272.085
291,Point,GT2730016,smtmblwSL,25.61,88.79,DIN016,DI055,14,0.115553,41,3,2.88874,1731.9,0.010008,21,3,121.996
293,Point,GT2738018,smtmblwSL,25.48,88.93,DIN018,DI067,14,0,34,3,3.80388,1483.89,0.011263,21,3,101.413
295,Point,GT2747021,smtmblwSL,25.29,89.07,DIN021,DI059,14,0.145111,25,3,2.80749,1432.74,0,2,1,23.029
296,Point,GT2756024,smtmblwSL,25.82,88.6,DIN024,DI039,14,0.144493,42,3,2.38374,1728.21,0.038287,19,4,282.637
297,Point,GT2756026,smtmblwSL,25.85,88.56,DIN026,DI046,14,0.064319,47,3,2.40791,1892.99,0.095672,19,5,319.74
298,Point,GT2764030,smtmblwSL,25.57,88.67,DIN030,DI034,14,0.173197,37,3,0.340727,1822.51,0,2,1,17.4519
299,Point,GT2764033,smtmblwSL,25.62,88.7,DIN033,DI052,12,0.103381,35,3,1.52343,1870.71,0.034881,21,3,104.06
300,Point,GT2764034,smtmblwSL,25.52,88.68,DIN028,DI054,14,0.108455,30,3,0.340727,1732.09,0,2,2,77.4279
302,Point,GT2764036,smtmblwSL,25.54,88.73,DIN036,DI064,14,0.089566,34,3,1.83426,1735.5,0.033592,2,2,80.7327
303,Point,GT2764037,smtmblwSL,25.58,88.7,DIN037,DI075,12,0.110234,35,3,1.22833,1808.15,0,2,2,81.9978
304,Point,GT2764038,smtmblwSL,25.54,88.63,DIN038,DI084,14,0.213924,36,3,1.52343,1806.03,0,2,2,80.9889
306,Point,GT2769040,smtmblwSL,25.42,89.07,DIN040,DI065,14,0.033621,37,3,3.42023,1532.63,0.054082,2,2,88.2436
309,Point,GT3224002,smtmblwSL,25.32,89.48,GAI002,RA-41,14,0.116862,24,3,3.13824,1715.05,0,9,4,229.968
311,Point,GT3288014,smtmblwSL,25.13,89.56,GAI014,RA-40,14,0.146129,23,3,3.22903,1598.86,0.278053,9,5,304.106
0,Point,GT8134016,alwsblwSL,24.58,88.41,RAJ016,RJ042,12,0,37,2,2.07168,1389.49,0,2,1,31.9122
4,Point,GT8153030,alwsblwSL,24.63,88.68,RAJ030,RJ023,14,0.2318,21,2,0.761852,1404.1,0.56078,3,1,35.9774
8,Point,GT8194048,alwsblwSL,24.57,88.55,RAJ048,RJ086,14,0.053417,26,2,1.07736,1389.65,0.169389,2,1,23.3022
9,Point,GT8194049,alwsblwSL,24.63,88.58,RAJ049,RJ136,14,0.154497,22,2,1.52343,1407.28,0.359752,2,1,12.9655
10,Point,GT8194047,alwsblwSL,24.62,88.54,RAJ047,RJ040,14,0.090926,21,2,0.481854,1419.08,0.143815,2,1,17.2246
11,Point,GT1006001,alwsblwSL,24.81,89.08,BOG001,BO010,14,0.111257,20,2,2.15395,1452.45,0.07458,2,1,25.7061
13,Point,GT1033009,alwsblwSL,24.89,89.15,BOG009,BO011,14,0.129087,21,2,3.35198,1471.28,0.054657,2,1,42.9509
18,Point,GT3861005,alwsblwSL,24.98,89.12,JOY005,BO029,12,0.069275,25,2,2.18069,1578.37,0.303927,2,1,10.3281
19,Point,GT6428007,alwsblwSL,25.17,88.74,NAO007,RJ002,14,0.155672,23,2,1.02208,1384.55,0.131376,2,1,43.1119
22,Point,GT6428011,alwsblwSL,25.07,88.87,NAO011,RJ053,14,0.190052,18,2,0.681429,1406.4,0.067522,2,2,53.3427
23,Point,GT6450015,alwsblwSL,24.88,88.81,NAO015,RJ018,14,0.197727,18,2,2.07168,1381.19,0.008218,2,3,130.45
25,Point,GT6450018,alwsblwSL,24.94,88.69,NAO018,RJ058,14,0.106455,26,2,4.13796,1420.88,0.085266,2,2,50.4927
26,Point,GT6475036,alwsblwSL,25.05,88.64,NAO036,RJ010,14,0.094177,20,2,1.22833,1418.59,0.029333,2,1,37.4641
27,Point,GT6475037,alwsblwSL,25.04,88.72,NAO037,RJ011,14,0.024883,23,2,2.40791,1372.09,0.072583,2,1,44.0563
28,Point,GT6475038,alwsblwSL,25.02,88.67,NAO038,RJ013,14,0.114165,21,2,0.963641,1402.15,0.029333,2,1,42.3948
29,Point,GT6475039,alwsblwSL,25.16,88.62,NAO039,RJ051,12,0,45,2,2.45554,1424,0.038261,2,1,43.4586
30,Point,GT6475041,alwsblwSL,25.03,88.81,NAO041,RJ055,14,0.053192,26,2,2.65928,1368.33,0,2,2,61.297
38,Point,GT7056006,alwsblwSL,24.68,88.43,NAW006,RJ041,14,0,37,2,2.92852,1456.13,0,2,1,20.5885
41,Point,GT7066012,alwsblwSL,24.66,88.34,NAW012,RJ043,14,0.145823,32,2,2.80749,1364.09,0.110178,2,1,20.7328
46,Point,GT2721011,nvblwSL,25.82,88.45,DIN011,DI047,14,0.091356,42,2,0.681429,1946.9,0.045302,19,4,266.579
138,Point,GT8112003,smtmblwSL,24.62,88.8,RAJ003,RJ134,12,0.087577,14,2,1.92674,1378.51,0.530091,3,2,66.1707
145,Point,GT8134021,smtmblwSL,24.49,88.46,RAJ021,RJ093,14,0.047596,34,2,0.481854,1279.58,0.035599,2,1,17.0863
154,Point,GT8182041,smtmblwSL,24.42,88.83,RAJ041,RJ031,14,0.003656,15,2,0.761852,1388.38,0.007818,6,2,71.0168
155,Point,GT8182042,smtmblwSL,24.49,88.88,RAJ042,RJ069,19,0.144828,16,2,0.761852,1402.01,0.14176,9,2,66.9591
190,Point,GT8867012,smtmblwSL,24.2,89.65,SIR012,PA004,14,0.108183,10,2,3.50366,1185.09,0.1279,9,3,122.519
206,Point,GT8894025,smtmblwSL,24.31,89.51,SIR025,PA023,14,0.170228,9,2,1.07736,1279.59,0.285687,9,3,105.308
215,Point,GT3874007,smtmblwSL,25.21,89.14,JOY007,BO022,14,0.184781,25,2,1.36267,1369.07,0.045424,2,2,69.2917
227,Point,GT6447021,smtmblwSL,24.84,88.67,NAO021,RJ063,14,0.122899,20,2,2.74496,1597.83,0.14609,9,2,52.6339
233,Point,GT6475040,smtmblwSL,25.1,88.72,NAO040,RJ054,14,0.069724,23,2,1.02208,1369.64,0.132357,2,1,29.8892
234,Point,GT6479044,smtmblwSL,25.02,88.45,NAO044,RJ012,14,0.269796,22,2,2.9087,1228.54,0.093206,2,2,63.0609
239,Point,GT6941001,smtmblwSL,24.39,89.19,NAT001,RJ033,14,0.050578,12,2,1.98599,1611.51,0.228995,9,2,65.2337
246,Point,GT6991013,smtmblwSL,24.61,89.2,NAT013,RJ026,14,0.049322,15,2,1.07736,1470.78,0,2,2,69.6586
